Team, Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT,stl_PCT, blk_PCT, opp_Team, opp_Efg_pct, opp_Turnover_PCT, opp_orb_pct, opp_ft_rate, opp_ast_PCT,opp_stl_PCT, opp_blk_PCT, class
NYK,  .405,  10.7,  21.6,  .155,  away,  51.6,  3.4,  10.1, CHI, .518, 6.8, 31.1, .235,  69.2,  4.5,  13.8,  loss
CHI, .518, 6.8, 31.1, .235,  home,  69.2,  4.5,  13.8, NYK,  .405,  10.7,  21.6,  .155,  51.6,  3.4,  10.1,  win
PHI,  .393,  14.4,  26.0,  .214,  away,  67.7,  6.4,  14.1, LAL, .408, 9.1, 26.0, .253,  51.5,  11.7,  10.0,  loss
LAL, .408, 9.1, 26.0, .253,  home,  51.5,  11.7,  10.0, PHI,  .393,  14.4,  26.0,  .214,  67.7,  6.4,  14.1,  win
DAL,  .403,  8.7,  23.6,  .125,  away,  68.8,  6.8,  4.7, MIA, .610, 12.2, 22.9, .073,  52.2,  4.5,  1.8,  loss
MIA, .610, 12.2, 22.9, .073,  home,  52.2,  4.5,  1.8, DAL,  .403,  8.7,  23.6,  .125,  68.8,  6.8,  4.7,  win
CHO,  .459,  9.7,  29.2,  .188,  away,  44.1,  8.1,  12.1, TOR, .478, 11.6, 40.8, .187,  58.3,  6.9,  7.5,  loss
TOR, .478, 11.6, 40.8, .187,  home,  58.3,  6.9,  7.5, CHO,  .459,  9.7,  29.2,  .188,  44.1,  8.1,  12.1,  win
ORL,  .500,  14.5,  17.1,  .071,  away,  72.5,  6.5,  6.1, WAS, .511, 8.5, 27.3, .098,  58.1,  11.8,  7.7,  loss
WAS, .511, 8.5, 27.3, .098,  home,  58.1,  11.8,  7.7, ORL,  .500,  14.5,  17.1,  .071,  72.5,  6.5,  6.1,  win
BRK,  .425,  12.0,  28.6,  .226,  away,  60.5,  5.1,  3.6, BOS, .426, 12.2, 30.8, .250,  50.0,  8.2,  5.3,  win
BOS, .426, 12.2, 30.8, .250,  home,  50.0,  8.2,  5.3, BRK,  .425,  12.0,  28.6,  .226,  60.5,  5.1,  3.6,  loss
OKC,  .500,  11.2,  27.0,  .380,  away,  57.1,  2.1,  24.2, CHO, .381, 3.9, 14.0, .310,  62.1,  7.5,  12.5,  win
CHO, .381, 3.9, 14.0, .310,  home,  62.1,  7.5,  12.5, OKC,  .500,  11.2,  27.0,  .380,  57.1,  2.1,  24.2,  loss
ORL,  .421,  14.4,  10.9,  .197,  away,  55.2,  1.1,  4.4, CLE, .488, 3.9, 23.1, .293,  70.6,  6.6,  2.0,  loss
CLE, .488, 3.9, 23.1, .293,  home,  70.6,  6.6,  2.0, ORL,  .421,  14.4,  10.9,  .197,  55.2,  1.1,  4.4,  win
NOP,  .518,  16.9,  23.1,  .229,  away,  47.5,  7.9,  3.5, DAL, .494, 12.5, 6.4, .193,  55.6,  9.9,  3.2,  win
DAL, .494, 12.5, 6.4, .193,  home,  55.6,  9.9,  3.2, NOP,  .518,  16.9,  23.1,  .229,  47.5,  7.9,  3.5,  loss
DEN,  .443,  10.1,  38.7,  .143,  away,  61.4,  7.0,  0.0, GSW, .558, 11.9, 24.3, .174,  79.1,  9.0,  6.7,  loss
GSW, .558, 11.9, 24.3, .174,  home,  79.1,  9.0,  6.7, DEN,  .443,  10.1,  38.7,  .143,  61.4,  7.0,  0.0,  win
DET,  .371,  8.8,  22.6,  .140,  away,  51.5,  5.3,  3.6, IND, .500, 13.2, 14.3, .288,  33.3,  7.4,  12.3,  loss
IND, .500, 13.2, 14.3, .288,  home,  33.3,  7.4,  12.3, DET,  .371,  8.8,  22.6,  .140,  51.5,  5.3,  3.6,  win
PHI,  .511,  11.1,  18.0,  .090,  away,  73.2,  8.1,  6.9, LAC, .679, 13.2, 20.0, .247,  57.1,  7.1,  9.1,  loss
LAC, .679, 13.2, 20.0, .247,  home,  57.1,  7.1,  9.1, PHI,  .511,  11.1,  18.0,  .090,  73.2,  8.1,  6.9,  win
MIL,  .480,  13.0,  26.2,  .307,  away,  62.5,  7.8,  7.1, MIN, .411, 14.5, 30.2, .190,  57.6,  11.1,  10.2,  win
MIN, .411, 14.5, 30.2, .190,  home,  57.6,  11.1,  10.2, MIL,  .480,  13.0,  26.2,  .307,  62.5,  7.8,  7.1,  loss
PHO,  .578,  14.4,  10.0,  .277,  away,  62.8,  8.6,  10.9, SAC, .661, 12.1, 32.3, .310,  56.6,  8.6,  3.7,  loss
SAC, .661, 12.1, 32.3, .310,  home,  56.6,  8.6,  3.7, PHO,  .578,  14.4,  10.0,  .277,  62.8,  8.6,  10.9,  win
HOU,  .561,  14.5,  20.5,  .270,  away,  70.3,  7.4,  6.5, SAS, .599, 10.4, 21.6, .209,  68.9,  9.5,  3.8,  loss
SAS, .599, 10.4, 21.6, .209,  home,  68.9,  9.5,  3.8, HOU,  .561,  14.5,  20.5,  .270,  70.3,  7.4,  6.5,  win
MEM,  .451,  10.6,  17.0,  .173,  away,  51.5,  8.6,  8.3, UTA, .473, 15.5, 22.0, .280,  54.8,  4.3,  11.1,  loss
UTA, .473, 15.5, 22.0, .280,  home,  54.8,  4.3,  11.1, MEM,  .451,  10.6,  17.0,  .173,  51.5,  8.6,  8.3,  win
POR,  .577,  9.8,  21.2,  .282,  away,  57.5,  4.3,  5.2, DEN, .469, 7.3, 30.6, .388,  58.8,  7.6,  10.9,  win
DEN, .469, 7.3, 30.6, .388,  home,  58.8,  7.6,  10.9, POR,  .577,  9.8,  21.2,  .282,  57.5,  4.3,  5.2,  loss
PHO,  .393,  13.1,  16.7,  .079,  away,  50.0,  8.3,  6.5, LAL, .500, 14.1, 20.0, .155,  68.4,  8.3,  11.3,  loss
LAL, .500, 14.1, 20.0, .155,  home,  68.4,  8.3,  11.3, PHO,  .393,  13.1,  16.7,  .079,  50.0,  8.3,  6.5,  win
ATL,  .488,  13.9,  19.0,  .179,  away,  70.3,  11.5,  8.1, NYK, .563, 14.5, 33.3, .136,  61.4,  8.4,  12.1,  loss
NYK, .563, 14.5, 33.3, .136,  home,  61.4,  8.4,  12.1, ATL,  .488,  13.9,  19.0,  .179,  70.3,  11.5,  8.1,  win
CHI,  .567,  10.6,  25.0,  .268,  away,  54.8,  4.3,  13.1, TOR, .527, 7.4, 27.7, .174,  50.0,  6.5,  13.1,  win
TOR, .527, 7.4, 27.7, .174,  home,  50.0,  6.5,  13.1, CHI,  .567,  10.6,  25.0,  .268,  54.8,  4.3,  13.1,  loss
MIA,  .506,  11.6,  20.9,  .116,  away,  69.2,  8.6,  18.0, WAS, .363, 9.4, 19.6, .099,  61.3,  5.4,  3.2,  win
WAS, .363, 9.4, 19.6, .099,  home,  61.3,  5.4,  3.2, MIA,  .506,  11.6,  20.9,  .116,  69.2,  8.6,  18.0,  loss
BOS,  .478,  6.5,  24.5,  .163,  away,  53.7,  10.8,  8.8, BRK, .412, 12.6, 30.8, .282,  50.0,  4.3,  8.5,  win
BRK, .412, 12.6, 30.8, .282,  home,  50.0,  4.3,  8.5, BOS,  .478,  6.5,  24.5,  .163,  53.7,  10.8,  8.8,  loss
TOR,  .548,  9.5,  21.6,  .274,  away,  66.7,  10.6,  12.2, CLE, .669, 13.2, 37.9, .311,  61.0,  7.1,  7.4,  loss
CLE, .669, 13.2, 37.9, .311,  home,  61.0,  7.1,  7.4, TOR,  .548,  9.5,  21.6,  .274,  66.7,  10.6,  12.2,  win
ORL,  .481,  8.5,  12.2,  .136,  away,  47.2,  6.9,  12.1, DET, .568, 9.3, 41.9, .170,  58.1,  6.9,  9.8,  loss
DET, .568, 9.3, 41.9, .170,  home,  58.1,  6.9,  9.8, ORL,  .481,  8.5,  12.2,  .136,  47.2,  6.9,  12.1,  win
CHO,  .483,  10.4,  19.0,  .209,  away,  39.5,  7.3,  1.9, GSW, .603, 10.9, 8.3, .069,  71.1,  4.2,  13.8,  loss
