Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT, stl_PCT, blk_PCT, class
NYK, 81, .405, 10.7, 21.6, .155, away, 51.6, 3.4, 10.1, loss
CHI, 108,.518,6.8,31.1,.235, home, 69.2, 4.5, 13.8, win
PHI, 84, .393, 14.4, 26.0, .214, away, 67.7, 6.4, 14.1, loss
LAL, 93,.408,9.1,26.0,.253, home, 51.5, 11.7, 10.0, win
DAL, 82, .403, 8.7, 23.6, .125, away, 68.8, 6.8, 4.7, loss
MIA, 106,.610,12.2,22.9,.073, home, 52.2, 4.5, 1.8, win
CHO, 94, .459, 9.7, 29.2, .188, away, 44.1, 8.1, 12.1, loss
TOR, 104,.478,11.6,40.8,.187, home, 58.3, 6.9, 7.5, win
ORL, 91, .500, 14.5, 17.1, .071, away, 72.5, 6.5, 6.1, loss
WAS, 103,.511,8.5,27.3,.098, home, 58.1, 11.8, 7.7, win
BRK, 100, .425, 12.0, 28.6, .226, away, 60.5, 5.1, 3.6, win
BOS, 97,.426,12.2,30.8,.250, home, 50.0, 8.2, 5.3, loss
OKC, 109, .500, 11.2, 27.0, .380, away, 57.1, 2.1, 24.2, win
CHO, 90,.381,3.9,14.0,.310, home, 62.1, 7.5, 12.5, loss
ORL, 79, .421, 14.4, 10.9, .197, away, 55.2, 1.1, 4.4, loss
CLE, 104,.488,3.9,23.1,.293, home, 70.6, 6.6, 2.0, win
NOP, 105, .518, 16.9, 23.1, .229, away, 47.5, 7.9, 3.5, win
DAL, 98,.494,12.5,6.4,.193, home, 55.6, 9.9, 3.2, loss
DEN, 108, .443, 10.1, 38.7, .143, away, 61.4, 7.0, 0.0, loss
GSW, 111,.558,11.9,24.3,.174, home, 79.1, 9.0, 6.7, win
DET, 82, .371, 8.8, 22.6, .140, away, 51.5, 5.3, 3.6, loss
IND, 94,.500,13.2,14.3,.288, home, 33.3, 7.4, 12.3, win
PHI, 99, .511, 11.1, 18.0, .090, away, 73.2, 8.1, 6.9, loss
LAC, 130,.679,13.2,20.0,.247, home, 57.1, 7.1, 9.1, win
MIL, 95, .480, 13.0, 26.2, .307, away, 62.5, 7.8, 7.1, win
MIN, 85,.411,14.5,30.2,.190, home, 57.6, 11.1, 10.2, loss
PHO, 119, .578, 14.4, 10.0, .277, away, 62.8, 8.6, 10.9, loss
SAC, 142,.661,12.1,32.3,.310, home, 56.6, 8.6, 3.7, win
HOU, 103, .561, 14.5, 20.5, .270, away, 70.3, 7.4, 6.5, loss
SAS, 121,.599,10.4,21.6,.209, home, 68.9, 9.5, 3.8, win
MEM, 87, .451, 10.6, 17.0, .173, away, 51.5, 8.6, 8.3, loss
UTA, 92,.473,15.5,22.0,.280, home, 54.8, 4.3, 11.1, win
POR, 112, .577, 9.8, 21.2, .282, away, 57.5, 4.3, 5.2, win
DEN, 106,.469,7.3,30.6,.388, home, 58.8, 7.6, 10.9, loss
PHO, 77, .393, 13.1, 16.7, .079, away, 50.0, 8.3, 6.5, loss
LAL, 97,.500,14.1,20.0,.155, home, 68.4, 8.3, 11.3, win
ATL, 97, .488, 13.9, 19.0, .179, away, 70.3, 11.5, 8.1, loss
NYK, 111,.563,14.5,33.3,.136, home, 61.4, 8.4, 12.1, win
CHI, 115, .567, 10.6, 25.0, .268, away, 54.8, 4.3, 13.1, win
TOR, 113,.527,7.4,27.7,.174, home, 50.0, 6.5, 13.1, loss
MIA, 97, .506, 11.6, 20.9, .116, away, 69.2, 8.6, 18.0, win
WAS, 75,.363,9.4,19.6,.099, home, 61.3, 5.4, 3.2, loss
BOS, 103, .478, 6.5, 24.5, .163, away, 53.7, 10.8, 8.8, win
BRK, 94,.412,12.6,30.8,.282, home, 50.0, 4.3, 8.5, loss
TOR, 100, .548, 9.5, 21.6, .274, away, 66.7, 10.6, 12.2, loss
CLE, 122,.669,13.2,37.9,.311, home, 61.0, 7.1, 7.4, win
ORL, 89, .481, 8.5, 12.2, .136, away, 47.2, 6.9, 12.1, loss
