Team, Efg_pct, Turnover_PCT, orb_pct, ft_rate, opp_Team, opp_Efg_pct, opp_Turnover_PCT, opp_orb_pct, opp_ft_rate, class
NYK,  .405,  10.7,  21.6,  .155, CHI, .518, 6.8, 31.1, .235,  loss
CHI, .518, 6.8, 31.1, .235, NYK,  .405,  10.7,  21.6,  .155,  win
PHI,  .393,  14.4,  26.0,  .214, LAL, .408, 9.1, 26.0, .253,  loss
LAL, .408, 9.1, 26.0, .253, PHI,  .393,  14.4,  26.0,  .214,  win
DAL,  .403,  8.7,  23.6,  .125, MIA, .610, 12.2, 22.9, .073,  loss
MIA, .610, 12.2, 22.9, .073, DAL,  .403,  8.7,  23.6,  .125,  win
CHO,  .459,  9.7,  29.2,  .188, TOR, .478, 11.6, 40.8, .187,  loss
TOR, .478, 11.6, 40.8, .187, CHO,  .459,  9.7,  29.2,  .188,  win
ORL,  .500,  14.5,  17.1,  .071, WAS, .511, 8.5, 27.3, .098,  loss
WAS, .511, 8.5, 27.3, .098, ORL,  .500,  14.5,  17.1,  .071,  win
BRK,  .425,  12.0,  28.6,  .226, BOS, .426, 12.2, 30.8, .250,  win
BOS, .426, 12.2, 30.8, .250, BRK,  .425,  12.0,  28.6,  .226,  loss
OKC,  .500,  11.2,  27.0,  .380, CHO, .381, 3.9, 14.0, .310,  win
CHO, .381, 3.9, 14.0, .310, OKC,  .500,  11.2,  27.0,  .380,  loss
ORL,  .421,  14.4,  10.9,  .197, CLE, .488, 3.9, 23.1, .293,  loss
CLE, .488, 3.9, 23.1, .293, ORL,  .421,  14.4,  10.9,  .197,  win
NOP,  .518,  16.9,  23.1,  .229, DAL, .494, 12.5, 6.4, .193,  win
DAL, .494, 12.5, 6.4, .193, NOP,  .518,  16.9,  23.1,  .229,  loss
DEN,  .443,  10.1,  38.7,  .143, GSW, .558, 11.9, 24.3, .174,  loss
GSW, .558, 11.9, 24.3, .174, DEN,  .443,  10.1,  38.7,  .143,  win
DET,  .371,  8.8,  22.6,  .140, IND, .500, 13.2, 14.3, .288,  loss
IND, .500, 13.2, 14.3, .288, DET,  .371,  8.8,  22.6,  .140,  win
PHI,  .511,  11.1,  18.0,  .090, LAC, .679, 13.2, 20.0, .247,  loss
LAC, .679, 13.2, 20.0, .247, PHI,  .511,  11.1,  18.0,  .090,  win
MIL,  .480,  13.0,  26.2,  .307, MIN, .411, 14.5, 30.2, .190,  win
MIN, .411, 14.5, 30.2, .190, MIL,  .480,  13.0,  26.2,  .307,  loss
PHO,  .578,  14.4,  10.0,  .277, SAC, .661, 12.1, 32.3, .310,  loss
SAC, .661, 12.1, 32.3, .310, PHO,  .578,  14.4,  10.0,  .277,  win
HOU,  .561,  14.5,  20.5,  .270, SAS, .599, 10.4, 21.6, .209,  loss
SAS, .599, 10.4, 21.6, .209, HOU,  .561,  14.5,  20.5,  .270,  win
MEM,  .451,  10.6,  17.0,  .173, UTA, .473, 15.5, 22.0, .280,  loss
UTA, .473, 15.5, 22.0, .280, MEM,  .451,  10.6,  17.0,  .173,  win
POR,  .577,  9.8,  21.2,  .282, DEN, .469, 7.3, 30.6, .388,  win
DEN, .469, 7.3, 30.6, .388, POR,  .577,  9.8,  21.2,  .282,  loss
PHO,  .393,  13.1,  16.7,  .079, LAL, .500, 14.1, 20.0, .155,  loss
LAL, .500, 14.1, 20.0, .155, PHO,  .393,  13.1,  16.7,  .079,  win
ATL,  .488,  13.9,  19.0,  .179, NYK, .563, 14.5, 33.3, .136,  loss
NYK, .563, 14.5, 33.3, .136, ATL,  .488,  13.9,  19.0,  .179,  win
CHI,  .567,  10.6,  25.0,  .268, TOR, .527, 7.4, 27.7, .174,  win
TOR, .527, 7.4, 27.7, .174, CHI,  .567,  10.6,  25.0,  .268,  loss
MIA,  .506,  11.6,  20.9,  .116, WAS, .363, 9.4, 19.6, .099,  win
WAS, .363, 9.4, 19.6, .099, MIA,  .506,  11.6,  20.9,  .116,  loss
BOS,  .478,  6.5,  24.5,  .163, BRK, .412, 12.6, 30.8, .282,  win
BRK, .412, 12.6, 30.8, .282, BOS,  .478,  6.5,  24.5,  .163,  loss
TOR,  .548,  9.5,  21.6,  .274, CLE, .669, 13.2, 37.9, .311,  loss
CLE, .669, 13.2, 37.9, .311, TOR,  .548,  9.5,  21.6,  .274,  win
ORL,  .481,  8.5,  12.2,  .136, DET, .568, 9.3, 41.9, .170,  loss
DET, .568, 9.3, 41.9, .170, ORL,  .481,  8.5,  12.2,  .136,  win
CHO,  .483,  10.4,  19.0,  .209, GSW, .603, 10.9, 8.3, .069,  loss
GSW, .603, 10.9, 8.3, .069, CHO,  .483,  10.4,  19.0,  .209,  win
IND,  .436,  8.7,  27.5,  .191, MIA, .406, 6.1, 26.8, .333,  loss
MIA, .406, 6.1, 26.8, .333, IND,  .436,  8.7,  27.5,  .191,  win
SAS,  .594,  11.6,  34.2,  .178, MIL, .500, 14.3, 24.4, .273,  win
MIL, .500, 14.3, 24.4, .273, SAS,  .594,  11.6,  34.2,  .178,  loss
SAC,  .489,  12.4,  31.7,  .326, OKC, .494, 13.1, 23.9, .180,  win
OKC, .494, 13.1, 23.9, .180, SAC,  .489,  12.4,  31.7,  .326,  loss
MIN,  .548,  16.1,  19.4,  .260, PHI, .575, 14.7, 36.4, .103,  loss
PHI, .575, 14.7, 36.4, .103, MIN,  .548,  16.1,  19.4,  .260,  win
MEM,  .401,  9.7,  32.7,  .198, POR, .438, 20.3, 16.7, .208,  win
POR, .438, 20.3, 16.7, .208, MEM,  .401,  9.7,  32.7,  .198,  loss
HOU,  .566,  17.2,  17.1,  .235, UTA, .480, 14.9, 34.9, .253,  win
UTA, .480, 14.9, 34.9, .253, HOU,  .566,  17.2,  17.1,  .235,  loss
NYK,  .506,  8.7,  28.9,  .262, ATL, .511, 12.0, 28.6, .138,  win
ATL, .511, 12.0, 28.6, .138, NYK,  .506,  8.7,  28.9,  .262,  loss
MIL,  .480,  8.5,  30.9,  .078, CHI, .584, 14.0, 21.2, .241,  loss
CHI, .584, 14.0, 21.2, .241, MIL,  .480,  8.5,  30.9,  .078,  win
SAC,  .535,  15.3,  17.6,  .101, DAL, .520, 13.6, 24.5, .153,  loss
DAL, .520, 13.6, 24.5, .153, SAC,  .535,  15.3,  17.6,  .101,  win
GSW,  .541,  9.5,  21.3,  .186, LAL, .346, 10.3, 25.4, .275,  win
LAL, .346, 10.3, 25.4, .275, GSW,  .541,  9.5,  21.3,  .186,  loss
DET,  .514,  16.7,  29.7,  .311, BOS, .407, 8.9, 26.5, .220,  win
BOS, .407, 8.9, 26.5, .220, DET,  .514,  16.7,  29.7,  .311,  loss
TOR,  .463,  16.2,  26.7,  .213, BRK, .429, 17.8, 14.0, .090,  win
BRK, .429, 17.8, 14.0, .090, TOR,  .463,  16.2,  26.7,  .213,  loss
NYK,  .579,  12.4,  17.9,  .243, MIA, .463, 12.8, 29.3, .171,  win
MIA, .463, 12.8, 29.3, .171, NYK,  .579,  12.4,  17.9,  .243,  loss
DEN,  .407,  11.1,  28.9,  .148, MIN, .404, 9.9, 19.5, .205,  win
MIN, .404, 9.9, 19.5, .205, DEN,  .407,  11.1,  28.9,  .148,  loss
DAL,  .466,  9.4,  23.4,  .218, NOP, .408, 9.0, 26.8, .174,  win
NOP, .408, 9.0, 26.8, .174, DAL,  .466,  9.4,  23.4,  .218,  loss
MEM,  .428,  7.4,  18.8,  .189, OKC, .506, 13.3, 30.2, .337,  loss
OKC, .506, 13.3, 30.2, .337, MEM,  .428,  7.4,  18.8,  .189,  win
IND,  .461,  15.3,  23.1,  .329, ORL, .443, 16.4, 21.4, .203,  win
ORL, .443, 16.4, 21.4, .203, IND,  .461,  15.3,  23.1,  .329,  loss
CHO,  .500,  11.9,  19.6,  .172, PHO, .601, 11.8, 5.4, .119,  loss
PHO, .601, 11.8, 5.4, .119, CHO,  .500,  11.9,  19.6,  .172,  win
LAC,  .572,  10.0,  23.8,  .169, POR, .494, 11.9, 34.7, .151,  win
POR, .494, 11.9, 34.7, .151, LAC,  .572,  10.0,  23.8,  .169,  loss
UTA,  .513,  17.2,  25.0,  .215, SAS, .657, 12.4, 25.0, .116,  loss
SAS, .657, 12.4, 25.0, .116, UTA,  .513,  17.2,  25.0,  .215,  win
CLE,  .607,  9.3,  31.7,  .146, WAS, .645, 12.0, 13.9, .224,  win
WAS, .645, 12.0, 13.9, .224, CLE,  .607,  9.3,  31.7,  .146,  loss
BOS,  .383,  9.3,  26.3,  .173, CHI, .463, 13.6, 25.0, .149,  loss
CHI, .463, 13.6, 25.0, .149, BOS,  .383,  9.3,  26.3,  .173,  win
UTA,  .532,  18.2,  25.0,  .141, HOU, .567, 15.6, 30.6, .240,  loss
HOU, .567, 15.6, 30.6, .240, UTA,  .532,  18.2,  25.0,  .141,  win
ATL,  .603,  13.8,  32.6,  .163, PHI, .483, 18.5, 29.2, .174,  win
PHI, .483, 18.5, 29.2, .174, ATL,  .603,  13.8,  32.6,  .163,  loss
LAL,  .592,  16.9,  18.2,  .329, SAC, .588, 13.4, 27.0, .212,  loss
SAC, .588, 13.4, 27.0, .212, LAL,  .592,  16.9,  18.2,  .329,  win
ORL,  .476,  14.1,  29.5,  .048, BRK, .445, 15.5, 21.7, .164,  win
BRK, .445, 15.5, 21.7, .164, ORL,  .476,  14.1,  29.5,  .048,  loss
OKC,  .534,  11.5,  40.0,  .247, LAL, .530, 10.4, 25.6, .286,  win
LAL, .530, 10.4, 25.6, .286, OKC,  .534,  11.5,  40.0,  .247,  loss
DEN,  .391,  15.1,  37.3,  .184, MEM, .415, 6.8, 21.6, .280,  loss
MEM, .415, 6.8, 21.6, .280, DEN,  .391,  15.1,  37.3,  .184,  win
DAL,  .500,  14.9,  36.4,  .131, MIL, .488, 13.9, 36.6, .225,  loss
MIL, .488, 13.9, 36.6, .225, DAL,  .500,  14.9,  36.4,  .131,  win
CLE,  .611,  10.5,  27.8,  .321, MIN, .500, 11.7, 17.5, .253,  win
MIN, .500, 11.7, 17.5, .253, CLE,  .611,  10.5,  27.8,  .321,  loss
IND,  .475,  21.2,  32.6,  .173, NOP, .428, 14.0, 16.7, .181,  win
NOP, .428, 14.0, 16.7, .181, IND,  .475,  21.2,  32.6,  .173,  loss
MIA,  .541,  10.4,  16.2,  .329, PHO, .467, 12.5, 30.0, .098,  win
PHO, .467, 12.5, 30.0, .098, MIA,  .541,  10.4,  16.2,  .329,  loss
GSW,  .632,  13.5,  13.2,  .207, POR, .458, 7.7, 21.8, .208,  win
POR, .458, 7.7, 21.8, .208, GSW,  .632,  13.5,  13.2,  .207,  loss
NYK,  .467,  7.5,  21.3,  .154, SAS, .462, 7.4, 26.1, .151,  loss
SAS, .462, 7.4, 26.1, .151, NYK,  .467,  7.5,  21.3,  .154,  win
TOR,  .487,  20.3,  17.6,  .320, WAS, .440, 17.3, 14.6, .167,  win
WAS, .440, 17.3, 14.6, .167, TOR,  .487,  20.3,  17.6,  .320,  loss
CHI,  .476,  17.9,  27.3,  .313, ATL, .574, 13.0, 19.0, .128,  loss
ATL, .574, 13.0, 19.0, .128, CHI,  .476,  17.9,  27.3,  .313,  win
BRK,  .494,  13.9,  12.2,  .098, DET, .511, 8.4, 25.0, .098,  loss
DET, .511, 8.4, 25.0, .098, BRK,  .494,  13.9,  12.2,  .098,  win
CHO,  .411,  14.0,  24.4,  .167, LAC, .484, 8.6, 26.5, .099,  loss
LAC, .484, 8.6, 26.5, .099, CHO,  .411,  14.0,  24.4,  .167,  win
WAS,  .638,  15.7,  13.3,  .105, ORL, .547, 15.1, 32.4, .243,  win
ORL, .547, 15.1, 32.4, .243, WAS,  .638,  15.7,  13.3,  .105,  loss
TOR,  .580,  13.0,  18.8,  .280, PHI, .556, 13.1, 22.5, .075,  win
PHI, .556, 13.1, 22.5, .075, TOR,  .580,  13.0,  18.8,  .280,  loss
GSW,  .672,  16.1,  25.0,  .126, SAC, .511, 8.7, 15.2, .239,  win
SAC, .511, 8.7, 15.2, .239, GSW,  .672,  16.1,  25.0,  .126,  loss
MIA,  .451,  16.0,  31.9,  .110, UTA, .613, 16.9, 17.2, .155,  loss
UTA, .613, 16.9, 17.2, .155, MIA,  .451,  16.0,  31.9,  .110,  win
CHO,  .434,  11.4,  20.0,  .241, DEN, .494, 13.0, 20.5, .247,  loss
DEN, .494, 13.0, 20.5, .247, CHO,  .434,  11.4,  20.0,  .241,  win
IND,  .528,  16.0,  11.4,  .089, HOU, .517, 18.2, 22.7, .169,  loss
HOU, .517, 18.2, 22.7, .169, IND,  .528,  16.0,  11.4,  .089,  win
NOP,  .440,  11.0,  27.8,  .230, LAC, .539, 11.9, 16.3, .202,  loss
LAC, .539, 11.9, 16.3, .202, NOP,  .440,  11.0,  27.8,  .230,  win
UTA,  .486,  14.9,  19.4,  .275, LAL, .343, 10.3, 29.1, .146,  win
LAL, .343, 10.3, 29.1, .146, UTA,  .486,  14.9,  19.4,  .275,  loss
BOS,  .460,  14.0,  22.9,  .193, MEM, .393, 17.1, 42.9, .417,  loss
MEM, .393, 17.1, 42.9, .417, BOS,  .460,  14.0,  22.9,  .193,  win
DAL,  .506,  13.1,  28.9,  .195, MIN, .443, 15.3, 28.2, .215,  win
MIN, .443, 15.3, 28.2, .215, DAL,  .506,  13.1,  28.9,  .195,  loss
MIL,  .419,  10.6,  31.1,  .263, NYK, .506, 10.7, 30.0, .179,  loss
NYK, .506, 10.7, 30.0, .179, MIL,  .419,  10.6,  31.1,  .263,  win
CLE,  .439,  9.1,  24.1,  .178, PHI, .494, 18.2, 15.6, .117,  win
PHI, .494, 18.2, 15.6, .117, CLE,  .439,  9.1,  24.1,  .178,  loss
OKC,  .553,  17.1,  20.0,  .342, POR, .515, 13.1, 37.0, .120,  loss
POR, .515, 13.1, 37.0, .120, OKC,  .553,  17.1,  20.0,  .342,  win
SAS,  .561,  11.7,  28.6,  .171, BRK, .466, 16.0, 14.3, .151,  win
BRK, .466, 16.0, 14.3, .151, SAS,  .561,  11.7,  28.6,  .171,  loss
WAS,  .530,  8.0,  27.7,  .091, CHI, .475, 14.7, 25.0, .284,  win
CHI, .475, 14.7, 25.0, .284, WAS,  .530,  8.0,  27.7,  .091,  loss
MIA,  .489,  9.3,  18.4,  .154, GSW, .517, 8.3, 19.1, .256,  loss
GSW, .517, 8.3, 19.1, .256, MIA,  .489,  9.3,  18.4,  .154,  win
CLE,  .500,  8.0,  31.5,  .134, DAL, .563, 15.3, 19.4, .228,  win
DAL, .563, 15.3, 19.4, .228, CLE,  .500,  8.0,  31.5,  .134,  loss
SAS,  .512,  14.9,  26.8,  .259, DET, .451, 10.5, 22.4, .187,  win
DET, .451, 10.5, 22.4, .187, SAS,  .512,  14.9,  26.8,  .259,  loss
PHO,  .449,  15.1,  32.7,  .191, IND, .582, 12.3, 21.6, .304,  loss
IND, .582, 12.3, 21.6, .304, PHO,  .449,  15.1,  32.7,  .191,  win
NOP,  .451,  10.2,  25.0,  .099, LAL, .402, 7.3, 22.0, .287,  loss
LAL, .402, 7.3, 22.0, .287, NOP,  .451,  10.2,  25.0,  .099,  win
HOU,  .545,  13.6,  50.0,  .299, MEM, .507, 17.1, 35.1, .250,  win
MEM, .507, 17.1, 35.1, .250, HOU,  .545,  13.6,  50.0,  .299,  loss
CHI,  .482,  15.1,  43.5,  .224, MIL, .478, 4.5, 27.5, .183,  loss
MIL, .478, 4.5, 27.5, .183, CHI,  .482,  15.1,  43.5,  .224,  win
OKC,  .518,  14.8,  19.0,  .167, MIN, .488, 16.5, 25.0, .210,  win
MIN, .488, 16.5, 25.0, .210, OKC,  .518,  14.8,  19.0,  .167,  loss
BOS,  .541,  8.5,  17.5,  .244, NYK, .574, 10.5, 14.6, .333,  loss
NYK, .574, 10.5, 14.6, .333, BOS,  .541,  8.5,  17.5,  .244,  win
IND,  .434,  14.6,  27.1,  .165, BOS, .494, 16.1, 28.6, .156,  loss
BOS, .494, 16.1, 28.6, .156, IND,  .434,  14.6,  27.1,  .165,  win
NYK,  .489,  11.4,  28.8,  .165, BRK, .576, 14.0, 20.0, .128,  loss
BRK, .576, 14.0, 20.0, .128, NYK,  .489,  11.4,  28.8,  .165,  win
ATL,  .414,  15.1,  12.2,  .210, CHO, .518, 14.6, 26.2, .268,  loss
CHO, .518, 14.6, 26.2, .268, ATL,  .414,  15.1,  12.2,  .210,  win
GSW,  .534,  11.8,  16.3,  .182, DEN, .454, 11.2, 28.9, .379,  loss
DEN, .454, 11.2, 28.9, .379, GSW,  .534,  11.8,  16.3,  .182,  win
MIN,  .513,  18.0,  31.1,  .308, HOU, .540, 14.9, 21.6, .347,  loss
HOU, .540, 14.9, 21.6, .347, MIN,  .513,  18.0,  31.1,  .308,  win
MIA,  .507,  21.7,  13.2,  .271, LAC, .484, 6.5, 18.5, .138,  loss
LAC, .484, 6.5, 18.5, .138, MIA,  .507,  21.7,  13.2,  .271,  win
DAL,  .427,  14.7,  16.3,  .232, OKC, .555, 16.0, 28.3, .207,  loss
OKC, .555, 16.0, 28.3, .207, DAL,  .427,  14.7,  16.3,  .232,  win
UTA,  .461,  14.0,  21.3,  .197, POR, .506, 12.1, 37.8, .114,  loss
POR, .506, 12.1, 37.8, .114, UTA,  .461,  14.0,  21.3,  .197,  win
NOP,  .500,  6.3,  23.6,  .090, SAC, .524, 16.6, 23.8, .107,  win
SAC, .524, 16.6, 23.8, .107, NOP,  .500,  6.3,  23.6,  .090,  loss
MIL,  .535,  23.7,  32.3,  .333, WAS, .524, 14.5, 19.6, .214,  loss
WAS, .524, 14.5, 19.6, .214, MIL,  .535,  23.7,  32.3,  .333,  win
LAL,  .467,  17.3,  31.4,  .156, GSW, .576, 16.7, 27.9, .198,  loss
GSW, .576, 16.7, 27.9, .198, LAL,  .467,  17.3,  31.4,  .156,  win
DET,  .618,  20.1,  25.0,  .167, MEM, .546, 14.7, 15.6, .263,  loss
MEM, .546, 14.7, 15.6, .263, DET,  .618,  20.1,  25.0,  .167,  win
TOR,  .456,  8.8,  21.6,  .267, ORL, .500, 13.0, 14.3, .062,  win
ORL, .500, 13.0, 14.3, .062, TOR,  .456,  8.8,  21.6,  .267,  loss
CHI,  .506,  18.5,  42.5,  .295, PHI, .516, 10.5, 23.4, .161,  win
PHI, .516, 10.5, 23.4, .161, CHI,  .506,  18.5,  42.5,  .295,  loss
CLE,  .524,  16.4,  20.9,  .110, SAS, .488, 10.6, 24.4, .217,  loss
SAS, .488, 10.6, 24.4, .217, CLE,  .524,  16.4,  20.9,  .110,  win
SAC,  .493,  14.0,  33.3,  .405, UTA, .458, 11.7, 20.0, .301,  win
UTA, .458, 11.7, 20.0, .301, SAC,  .493,  14.0,  33.3,  .405,  loss
PHO,  .449,  12.1,  18.8,  .258, BOS, .510, 9.9, 32.1, .198,  loss
BOS, .510, 9.9, 32.1, .198, PHO,  .449,  12.1,  18.8,  .258,  win
POR,  .586,  8.4,  28.6,  .075, BRK, .494, 11.0, 34.8, .235,  win
BRK, .494, 11.0, 34.8, .235, POR,  .586,  8.4,  28.6,  .075,  loss
DAL,  .442,  9.6,  16.7,  .195, CHI, .372, 8.0, 25.0, .151,  win
CHI, .372, 8.0, 25.0, .151, DAL,  .442,  9.6,  16.7,  .195,  loss
MIA,  .519,  12.7,  22.5,  .173, DEN, .449, 12.7, 15.4, .321,  win
DEN, .449, 12.7, 15.4, .321, MIA,  .519,  12.7,  22.5,  .173,  loss
CLE,  .437,  12.6,  36.2,  .172, HOU, .392, 17.2, 23.8, .257,  win
HOU, .392, 17.2, 23.8, .257, CLE,  .437,  12.6,  36.2,  .172,  loss
WAS,  .577,  12.8,  37.0,  .051, IND, .494, 12.1, 14.0, .313,  win
IND, .494, 12.1, 14.0, .313, WAS,  .577,  12.8,  37.0,  .051,  loss
ATL,  .475,  14.2,  15.2,  .060, MIL, .432, 12.5, 36.8, .260,  loss
MIL, .432, 12.5, 36.8, .260, ATL,  .475,  14.2,  15.2,  .060,  win
CHO,  .570,  10.8,  9.1,  .105, NOP, .563, 7.9, 18.6, .126,  loss
NOP, .563, 7.9, 18.6, .126, CHO,  .570,  10.8,  9.1,  .105,  win
MIN,  .429,  11.2,  36.4,  .235, OKC, .556, 5.7, 29.3, .157,  loss
OKC, .556, 5.7, 29.3, .157, MIN,  .429,  11.2,  36.4,  .235,  win
BRK,  .474,  16.4,  16.7,  .154, ATL, .608, 10.0, 14.7, .228,  loss
ATL, .608, 10.0, 14.7, .228, BRK,  .474,  16.4,  16.7,  .154,  win
MIL,  .576,  15.2,  21.4,  .306, CHO, .431, 4.9, 24.5, .195,  win
CHO, .431, 4.9, 24.5, .195, MIL,  .576,  15.2,  21.4,  .306,  loss
GSW,  .415,  10.3,  25.9,  .181, DET, .505, 7.6, 34.0, .109,  loss
DET, .505, 7.6, 34.0, .109, GSW,  .415,  10.3,  25.9,  .181,  win
SAC,  .559,  15.8,  22.0,  .329, LAC, .464, 9.5, 24.6, .146,  win
LAC, .464, 9.5, 24.6, .146, SAC,  .559,  15.8,  22.0,  .329,  loss
NYK,  .487,  8.4,  16.2,  .260, MEM, .506, 7.9, 30.2, .244,  loss
MEM, .506, 7.9, 30.2, .244, NYK,  .487,  8.4,  16.2,  .260,  win
POR,  .420,  11.8,  17.6,  .184, PHI, .618, 12.7, 9.4, .263,  loss
PHI, .618, 12.7, 9.4, .263, POR,  .420,  11.8,  17.6,  .184,  win
LAL,  .394,  12.5,  28.6,  .122, UTA, .566, 9.9, 28.2, .181,  loss
UTA, .566, 9.9, 28.2, .181, LAL,  .394,  12.5,  28.6,  .122,  win
BOS,  .494,  13.4,  37.8,  .364, WAS, .483, 11.0, 31.8, .348,  win
WAS, .483, 11.0, 31.8, .348, BOS,  .494,  13.4,  37.8,  .364,  loss
IND,  .640,  13.6,  26.5,  .256, DEN, .560, 13.6, 41.5, .297,  loss
DEN, .560, 13.6, 41.5, .297, IND,  .640,  13.6,  26.5,  .256,  win
HOU,  .516,  11.3,  25.0,  .198, LAL, .488, 13.4, 7.0, .183,  win
LAL, .488, 13.4, 7.0, .183, HOU,  .516,  11.3,  25.0,  .198,  loss
PHO,  .451,  14.0,  21.4,  .173, MIN, .616, 14.8, 27.6, .464,  loss
MIN, .616, 14.8, 27.6, .464, PHO,  .451,  14.0,  21.4,  .173,  win
MIA,  .444,  19.8,  18.4,  .139, OKC, .494, 13.0, 31.0, .136,  loss
OKC, .494, 13.0, 31.0, .136, MIA,  .444,  19.8,  18.4,  .139,  win
DAL,  .395,  12.4,  10.0,  .235, SAS, .494, 6.4, 13.0, .256,  loss
SAS, .494, 6.4, 13.0, .256, DAL,  .395,  12.4,  10.0,  .235,  win
ORL,  .379,  11.9,  20.4,  .172, ATL, .569, 16.8, 11.4, .088,  loss
ATL, .569, 16.8, 11.4, .088, ORL,  .379,  11.9,  20.4,  .172,  win
UTA,  .495,  8.1,  25.9,  .154, CHO, .545, 13.6, 17.1, .318,  loss
CHO, .545, 13.6, 17.1, .318, UTA,  .495,  8.1,  25.9,  .154,  win
GSW,  .653,  7.6,  17.6,  .247, CLE, .526, 14.6, 20.5, .221,  win
CLE, .526, 14.6, 20.5, .221, GSW,  .653,  7.6,  17.6,  .247,  loss
BOS,  .489,  10.2,  24.5,  .223, DAL, .516, 11.9, 23.4, .237,  loss
DAL, .516, 11.9, 23.4, .237, BOS,  .489,  10.2,  24.5,  .223,  win
CHI,  .577,  9.7,  16.7,  .167, DET, .468, 9.6, 38.5, .126,  win
DET, .468, 9.6, 38.5, .126, CHI,  .577,  9.7,  16.7,  .167,  loss
HOU,  .563,  11.2,  33.3,  .375, LAC, .637, 10.2, 20.0, .264,  loss
LAC, .637, 10.2, 20.0, .264, HOU,  .563,  11.2,  33.3,  .375,  win
NOP,  .527,  15.1,  17.1,  .284, MEM, .520, 10.2, 28.2, .307,  loss
MEM, .520, 10.2, 28.2, .307, NOP,  .527,  15.1,  17.1,  .284,  win
PHI,  .490,  10.3,  14.0,  .127, NYK, .485, 11.3, 18.5, .258,  loss
NYK, .485, 11.3, 18.5, .258, PHI,  .490,  10.3,  14.0,  .127,  win
BRK,  .546,  14.2,  22.2,  .224, TOR, .582, 7.0, 20.0, .153,  loss
TOR, .582, 7.0, 20.0, .153, BRK,  .546,  14.2,  22.2,  .224,  win
POR,  .613,  14.4,  22.5,  .060, WAS, .539, 9.5, 9.3, .195,  win
WAS, .539, 9.5, 9.3, .195, POR,  .613,  14.4,  22.5,  .060,  loss
OKC,  .454,  10.6,  30.8,  .227, DEN, .464, 14.7, 25.0, .325,  win
DEN, .464, 14.7, 25.0, .325, OKC,  .454,  10.6,  30.8,  .227,  loss
MIL,  .520,  17.3,  21.2,  .189, MIA, .399, 14.1, 27.3, .270,  win
MIA, .399, 14.1, 27.3, .270, MIL,  .520,  17.3,  21.2,  .189,  loss
MIN,  .493,  15.1,  30.0,  .316, NOP, .566, 13.9, 30.8, .241,  loss
NOP, .566, 13.9, 30.8, .241, MIN,  .493,  15.1,  30.0,  .316,  win
IND,  .434,  12.5,  20.0,  .301, PHO, .414, 19.0, 26.5, .333,  win
PHO, .414, 19.0, 26.5, .333, IND,  .434,  12.5,  20.0,  .301,  loss
CLE,  .500,  13.2,  16.7,  .182, BRK, .440, 12.1, 18.8, .048,  win
BRK, .440, 12.1, 18.8, .048, CLE,  .500,  13.2,  16.7,  .182,  loss
GSW,  .589,  8.8,  26.7,  .137, CHI, .375, 8.3, 27.1, .190,  win
CHI, .375, 8.3, 27.1, .190, GSW,  .589,  8.8,  26.7,  .137,  loss
MIN,  .467,  15.1,  21.3,  .099, DAL, .459, 9.3, 17.6, .175,  loss
DAL, .459, 9.3, 17.6, .175, MIN,  .467,  15.1,  21.3,  .099,  win
