'  Efg_pct',' Turnover_PCT',' orb_pct',' ft_rate',' class'
0.212329,0.373206,0.390852,0.228209,' loss'
0.47032,0.186603,0.588358,0.354992,' win'
0.184932,0.550239,0.482328,0.321712,' loss'
0.219178,0.296651,0.482328,0.383518,' win'
0.207763,0.277512,0.432432,0.180666,' loss'
0.680365,0.444976,0.417879,0.098257,' win'
0.335616,0.325359,0.548857,0.280507,' loss'
0.378995,0.416268,0.790021,0.278922,' win'
0.429224,0.555024,0.297297,0.095087,' loss'
0.454338,0.267943,0.509356,0.137876,' win'
0.257991,0.435407,0.536383,0.340729,' win'
0.260274,0.444976,0.582121,0.378764,' loss'
0.429224,0.397129,0.503119,0.584786,' win'
0.157534,0.047847,0.232848,0.473851,' loss'
0.248858,0.550239,0.168399,0.29477,' loss'
0.401826,0.047847,0.422037,0.44691,' win'
0.47032,0.669856,0.422037,0.345483,' win'
0.415525,0.45933,0.074844,0.288431,' loss'
0.299087,0.344498,0.746362,0.209192,' loss'
0.561644,0.430622,0.446985,0.25832,' win'
0.134703,0.282297,0.411642,0.204437,' loss'
0.429224,0.492823,0.239085,0.438986,' win'
0.454338,0.392344,0.316008,0.125198,' loss'
0.8379,0.492823,0.357588,0.37401,' win'
0.383562,0.483254,0.486486,0.469097,' win'
0.226027,0.555024,0.569647,0.283677,' loss'
0.607306,0.550239,0.149688,0.421553,' loss'
0.796804,0.440191,0.613306,0.473851,' win'
0.568493,0.555024,0.367983,0.41046,' loss'
0.655251,0.358852,0.390852,0.313788,' win'
0.317352,0.368421,0.295218,0.256735,' loss'
0.36758,0.602871,0.399168,0.426307,' win'
0.605023,0.330144,0.382536,0.429477,' win'
0.358447,0.210526,0.577963,0.597464,' loss'
0.184932,0.488038,0.288981,0.107765,' loss'
0.429224,0.535885,0.357588,0.228209,' win'
0.401826,0.526316,0.336798,0.266244,' loss'
0.573059,0.555024,0.634096,0.198098,' win'
0.582192,0.368421,0.461538,0.40729,' win'
0.490868,0.215311,0.517672,0.25832,' loss'
0.442922,0.416268,0.376299,0.166403,' win'
0.116438,0.311005,0.349272,0.139461,' loss'
0.378995,0.172249,0.451143,0.240887,' win'
0.228311,0.464115,0.582121,0.429477,' loss'
0.538813,0.315789,0.390852,0.416799,' loss'
0.815068,0.492823,0.72973,0.475436,' win'
0.385845,0.267943,0.195426,0.198098,' loss'
0.584475,0.30622,0.81289,0.251981,' win'
0.390411,0.358852,0.336798,0.313788,' loss'
0.664384,0.382775,0.114345,0.091918,' win'
0.283105,0.277512,0.513514,0.285261,' loss'
0.214612,0.15311,0.49896,0.510301,' win'
0.643836,0.416268,0.652807,0.264659,' win'
0.429224,0.545455,0.449064,0.415214,' loss'
0.40411,0.454545,0.600832,0.499208,' win'
0.415525,0.488038,0.438669,0.267829,' loss'
0.538813,0.631579,0.345114,0.394612,' loss'
0.600457,0.564593,0.698545,0.1458,' win'
0.203196,0.325359,0.621622,0.296355,' win'
0.287671,0.832536,0.288981,0.312203,' loss'
0.579909,0.684211,0.297297,0.354992,' win'
0.383562,0.574163,0.66736,0.383518,' loss'
0.442922,0.277512,0.54262,0.397781,' win'
0.454338,0.435407,0.536383,0.201268,' loss'
0.383562,0.267943,0.5842,0.106181,' loss'
0.621005,0.5311,0.382536,0.364501,' win'
0.509132,0.593301,0.307692,0.142631,' loss'
0.474886,0.511962,0.451143,0.22504,' win'
0.522831,0.315789,0.384615,0.277338,' win'
0.077626,0.354067,0.469854,0.418384,' loss'
0.461187,0.660287,0.559252,0.475436,' win'
0.216895,0.287081,0.492723,0.33122,' loss'
0.344749,0.636364,0.496881,0.320127,' win'
0.267123,0.712919,0.232848,0.125198,' loss'
0.609589,0.454545,0.313929,0.36767,' win'
0.344749,0.473684,0.550936,0.253566,' loss'
0.216895,0.392344,0.54262,0.217116,' win'
0.210046,0.334928,0.347193,0.307448,' loss'
0.351598,0.311005,0.428274,0.328051,' win'
0.219178,0.291866,0.49896,0.25832,' loss'
0.26484,0.215311,0.33264,0.282092,' loss'
0.442922,0.497608,0.569647,0.51664,' win'
0.340183,0.593301,0.422037,0.503962,' win'
0.299087,0.645933,0.386694,0.304279,' loss'
0.429224,0.430622,0.349272,0.255151,' loss'
0.659817,0.425837,0.054054,0.171157,' win'
0.593607,0.339713,0.43659,0.250396,' win'
0.415525,0.430622,0.663202,0.22187,' loss'
0.458904,0.684211,0.461538,0.323296,' loss'
0.787671,0.454545,0.461538,0.166403,' win'
0.673516,0.30622,0.600832,0.213946,' win'
0.760274,0.435407,0.230769,0.337559,' loss'
0.1621,0.30622,0.488565,0.256735,' loss'
0.344749,0.511962,0.461538,0.2187,' win'
0.502283,0.732057,0.461538,0.206022,' loss'
0.582192,0.607656,0.577963,0.362916,' win'
0.664384,0.521531,0.619543,0.240887,' win'
0.390411,0.746411,0.548857,0.25832,' loss'
0.639269,0.669856,0.320166,0.503962,' loss'
0.630137,0.502392,0.503119,0.318542,' win'
0.374429,0.535885,0.555094,0.058637,' win'
0.303653,0.602871,0.392931,0.242472,' loss'
0.506849,0.411483,0.773389,0.37401,' win'
0.497717,0.358852,0.474012,0.435816,' loss'
0.180365,0.583732,0.717256,0.274168,' loss'
0.23516,0.186603,0.390852,0.426307,' win'
0.429224,0.574163,0.698545,0.190174,' loss'
0.401826,0.526316,0.702703,0.339144,' win'
0.682648,0.363636,0.519751,0.491284,' win'
0.429224,0.421053,0.305613,0.383518,' loss'
0.372146,0.875598,0.619543,0.256735,' win'
0.26484,0.5311,0.288981,0.269414,' loss'
0.522831,0.358852,0.278586,0.503962,' win'
0.353881,0.45933,0.565489,0.137876,' loss'
0.730594,0.507177,0.216216,0.310618,' win'
0.333333,0.229665,0.39501,0.312203,' loss'
0.353881,0.220096,0.384615,0.226624,' loss'
0.342466,0.215311,0.484407,0.22187,' win'
0.399543,0.832536,0.307692,0.489699,' win'
0.292237,0.688995,0.245322,0.247227,' loss'
0.374429,0.717703,0.509356,0.478605,' loss'
0.598174,0.483254,0.336798,0.18542,' win'
0.415525,0.526316,0.195426,0.137876,' loss'
0.454338,0.263158,0.461538,0.137876,' win'
0.226027,0.5311,0.449064,0.247227,' loss'
0.392694,0.272727,0.492723,0.139461,' win'
0.744292,0.61244,0.218295,0.14897,' win'
0.53653,0.583732,0.615385,0.36767,' loss'
0.611872,0.483254,0.33264,0.426307,' win'
0.557078,0.488038,0.409563,0.101426,' loss'
0.821918,0.631579,0.461538,0.18225,' win'
0.454338,0.277512,0.257796,0.361331,' loss'
0.317352,0.626794,0.60499,0.156894,' loss'
0.687215,0.669856,0.299376,0.228209,' win'
0.278539,0.406699,0.357588,0.364501,' loss'
0.415525,0.483254,0.367983,0.37401,' win'
0.493151,0.626794,0.178794,0.123613,' loss'
