Team Name,Opposing Team,Result,Prediction
IND,CLE,loss,loss
CLE,IND,win,win
UTA,LAC,win,loss
LAC,UTA,loss,win
MEM,SAS,loss,loss
SAS,MEM,win,win
MIL,TOR,win,loss
TOR,MIL,loss,win
CHI,BOS,win,loss
BOS,CHI,loss,win
POR,GSW,loss,loss
GSW,POR,win,win
OKC,HOU,loss,loss
HOU,OKC,win,win
ATL,WAS,loss,loss
WAS,ATL,win,win
IND,CLE,loss,loss
CLE,IND,win,win
MEM,SAS,loss,loss
SAS,MEM,win,win
CHI,BOS,win,loss
BOS,CHI,loss,win
UTA,LAC,loss,loss
LAC,UTA,win,win
MIL,TOR,loss,loss
TOR,MIL,win,win
POR,GSW,loss,loss
GSW,POR,win,win
OKC,HOU,loss,loss
HOU,OKC,win,win
ATL,WAS,loss,loss
WAS,ATL,win,win
CLE,IND,win,win
IND,CLE,loss,loss
SAS,MEM,loss,win
MEM,SAS,win,loss
TOR,MIL,loss,win
MIL,TOR,win,loss
BOS,CHI,win,win
CHI,BOS,loss,loss
HOU,OKC,loss,win
OKC,HOU,win,loss
LAC,UTA,win,win
UTA,LAC,loss,loss
WAS,ATL,loss,win
ATL,WAS,win,loss
SAS,MEM,loss,win
MEM,SAS,win,loss
TOR,MIL,win,win
MIL,TOR,loss,loss
GSW,POR,win,win
POR,GSW,loss,loss
CLE,IND,win,win
IND,CLE,loss,loss
HOU,OKC,win,win
OKC,HOU,loss,loss
